"id","resource.name","resource.description","lang1","lang1.olac","lang1.glottolog","lang2","lang2.glottolog","lang3","lang3.glottolog","country","place","place.osm","place.geonames","lat","lon","bbox.lon1","bbox.lon2","bbox.lat1","bbox.lat2","contents.type","words.count","collection.date.start","collection.date.end","access","licence","data.link","data.link2","comments"
65,"Shaman Mentawai story","'Sikerei’ (shaman) story","Mentawai","http://www.language-archives.org/language/mwv",,,,,,"Indonesia","Buttui",,,-1.59487,99.08372,,,,,"folk tales",,2024,2024,"restricted","Paradisec","https://doi.org/10.26278/jh0e-3642",,
66,"Healing ritual Mentawai song","Urai (song) ‘Pururik Simagre'","Mentawai","http://www.language-archives.org/language/mwv",,,,,,"Indonesia","Buttui",,,-1.59487,99.08372,,,,,"song",,2024,2024,"restricted","Paradisec","https://doi.org/10.26278/0647-8050",,
67,"Lullaby Mentawai song","Urai (song) ‘ina Kakui’","Mentawai","http://www.language-archives.org/language/mwv",,,,,,"Indonesia","Buttui",,,-1.59487,99.08372,,,,,"song",,2024,2024,"restricted","Paradisec","https://doi.org/10.26278/9bqm-3x06",,
68,"Mentawai traditional meal song","Kapurut (Traditional food)","Mentawai","http://www.language-archives.org/language/mwv",,,,,,"Indonesia","Buttui",,,-1.59487,99.08372,,,,,"song",,2024,2024,"restricted","Paradisec","https://doi.org/10.26278/1jxa-6605",,
69,"Tattoing Mentawai story (part 2)","'Titi’ (tattoing) story","Mentawai","http://www.language-archives.org/language/mwv",,,,,,"Indonesia","Buttui",,,-1.59487,99.08372,,,,,"folk tales",,2024,2024,"restricted","Paradisec","https://doi.org/10.26278/knpy-b441 ",,
70,"Numbers in Mentawai",,"Mentawai","http://www.language-archives.org/language/mwv",,,,,,"Indonesia","Buttui",,,-1.59487,99.08372,,,,,"word list",,2024,2024,"restricted","Paradisec","https://doi.org/10.26278/fcjr-jc45",,
71,"Monitor Lizard Mentawai song","Urai (song) 'Batek’","Mentawai","http://www.language-archives.org/language/mwv",,,,,,"Indonesia","Buttui",,,-1.59487,99.08372,,,,,"song",,2024,2024,"restricted","Paradisec","https://doi.org/10.26278/0gsb-xa56",,
72,"Healing ritual Mentawai song","Urai (song) 'Seget Simagre’","Mentawai","http://www.language-archives.org/language/mwv",,,,,,"Indonesia","Buttui",,,-1.59487,99.08372,,,,,"song",,2024,2024,"restricted","Paradisec","https://doi.org/10.26278/mg92-z220 ",,
73,"Mentawai longing song","Urai (song) ‘Goatbaga’","Mentawai","http://www.language-archives.org/language/mwv",,,,,,"Indonesia","Buttui",,,-1.59487,99.08372,,,,,"song",,2024,2024,"restricted","Paradisec","https://doi.org/10.26278/c877-1f02",,
74,"Shaman Mentawai story (2)","'Sikerei’ (shaman) story","Mentawai","http://www.language-archives.org/language/mwv",,,,,,"Indonesia","Buttui",,,-1.59487,99.08372,,,,,"folk tales",,2024,2024,"restricted","Paradisec","https://doi.org/10.26278/x47h-k365",,
75,"Tortoise and monitor lizard tale",,"Mentawai","http://www.language-archives.org/language/mwv",,,,,,"Indonesia","Muntei","https://www.openstreetmap.org/node/1308345092","https://www.geonames.org/12472578/desa-muntei.html",-1.5824591,99.1898535,,,,,"folk tales",,2023,2023,"restricted","Paradisec","https://doi.org/10.26278/4j1n-ac13 ",,
76,"Burdah ritual in Loloan Malay","Wordlist, video recording, etc. of the Burdah ritual, a part of the Ngelenggang ritual (7-month pregnancy)","Loloan Malay","http://www.language-archives.org/language/mhp","https://glottolog.org/resource/languoid/id/bali1279","Indonesian","https://glottolog.org/resource/languoid/id/indo1316",,,"Indonesia","Loloan","https://www.openstreetmap.org/relation/14322006","https://www.geonames.org/7581763/kelurahan-loloan-timur.html",-8.3678401,114.6280563,,,,,"word list",1163,2024,2024,"restricted","Paradisec","https://doi.org/10.26278/m521-p969",,
77,"Burdah ritual video","Video recording of the Burdah ritual, a part of the Ngelenggang ritual (7-month pregnancy)","Loloan Malay","http://www.language-archives.org/language/mhp","https://glottolog.org/resource/languoid/id/bali1279","Indonesian","https://glottolog.org/resource/languoid/id/indo1316",,,"Indonesia","Loloan","https://www.openstreetmap.org/relation/14322006","https://www.geonames.org/7581763/kelurahan-loloan-timur.html",-8.3678401,114.6280563,,,,,"ritual",,2024,2024,"restricted","Paradisec","https://doi.org/10.26278/nebw-sb96 ",,
78,"Burdah ritual book","Translation from Arabic into Loloan Malay and Indonesian of the Burdah ritual verses, a part of the Ngelenggang ritual (7-month pregnancy)","Loloan Malay","http://www.language-archives.org/language/mhp","https://glottolog.org/resource/languoid/id/bali1279","Indonesian","https://glottolog.org/resource/languoid/id/indo1316","Arabic","https://glottolog.org/resource/languoid/id/arab1395","Indonesia","Loloan","https://www.openstreetmap.org/relation/14322006","https://www.geonames.org/7581763/kelurahan-loloan-timur.html",-8.3678401,114.6280563,,,,,"ritual",1163,2024,2024,"restricted","Paradisec","https://doi.org/10.26278/41rz-z386 ",,"Book documenting the Burdah tradtion in Loloam, by Udanaya University team: Prof I Gusti Ayu Gde Sosiowati, Ni Luh Nyoma Seri Malini, Nissa Puspitaning Adni,  Putu Wahyu Widiatmika"
27,"Burdah ritual book","Translation from Arabic into Loloan Malay and Indonesian of the Burdah ritual verses, a part of the Ngelenggang ritual (7-month pregnancy)","Loloan Malay","http://www.language-archives.org/language/mhp","https://glottolog.org/resource/languoid/id/bali1279","Indonesian","https://glottolog.org/resource/languoid/id/indo1316","Arabic","https://glottolog.org/resource/languoid/id/arab1395","Indonesia","Loloan","https://www.openstreetmap.org/relation/14322006","https://www.geonames.org/7581763/kelurahan-loloan-timur.html",-8.37252777777778,114.625416666667,,,,,"ritual",1163,2024,2024,"open","?","https://e.pcloud.link/publink/show?code=XZnvhaZEU1ttTRtr3RX6wXOtfDcz4mPXJj7",,
79,"Burdah ritual photos","Photographs of the Burdah ritual, a part of the Ngelenggang ritual (7-month pregnancy)","Loloan Malay","http://www.language-archives.org/language/mhp","https://glottolog.org/resource/languoid/id/bali1279","Indonesian","https://glottolog.org/resource/languoid/id/indo1316",,,"Indonesia","Loloan","https://www.openstreetmap.org/relation/14322006","https://www.geonames.org/7581763/kelurahan-loloan-timur.html",-8.3678401,114.6280563,,,,,"ritual",,2024,2024,"restricted","Paradisec","https://doi.org/10.26278/c9ed-6s44",,
80,"Umbu-Ungu Wordlist","Wordlist of Andelale dialect of Umbu-Ungu","Umbu-Ungu","http://www.language-archives.org/language/ubu","https://glottolog.org/resource/languoid/id/ande1248",,,,,"Papua New Guinea","Lokopule",,,-6.05726,143.6713,,,,,"word list",729,2024,2024,"restricted","Paradisec","https://doi.org/10.26278/8dr5-1s33",,"approximat location"
